m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.8,0.19,0.04,0.23028095224822176,0.6875715701641555,5.2016815023266005,0.1037649589817704,0.10375369806402546,0.10372352943809915,0.1037348989390523,0.10373185877338642,3.203904358530444,3.2055691790787293,3.196206151612323,3.206605273290215,3.203104748084506,0.9094804430380042
5.0,0.3,0.8,0.18,0.04,0.23551981890671364,0.682423167300895,6.173911136551872,1.0780041456214562,1.0780643576936413,1.0780550486092793,1.0779950915753247,1.078000641624861,4.812633041429784,4.812887409947528,4.811068847970567,4.813120735575488,4.812764882494797,0.6667645677116363
5.0,0.3,0.8,0.17,0.04,0.24078321497464986,0.6771123079248021,0.48093173539641043,2.086615390974764,2.0867275835517987,2.0867102380462867,2.086598520670684,2.086608861974689,5.615884569014376,5.61607138173769,5.61473607565005,5.616242751240513,5.615981393817599,0.3372470213220254
5.0,0.3,0.8,0.16,0.04,0.2459802990838815,0.6717260240668469,1.3706595169387015,3.7437466993498774,3.743901092031784,3.7438772230268214,3.7437234824085053,3.7437377141947863,0.09357279908266491,0.09374537844308861,0.09251217895865693,0.09390370596378261,0.09366224461876982,1.0611324722282227
5.0,0.3,0.8,0.15,0.04,0.2512762283964457,0.6660719587759308,3.038353129370563,5.211100922903647,5.211211377323075,5.211194301237633,5.2110843129942666,5.211094494696049,1.038269196473749,1.03850963985181,1.036792120565707,1.0387302517420096,1.0383938115578815,0.5551528603940501
5.0,0.3,0.8,0.14,0.04,0.2565737832637317,0.6602971698823009,4.911634619213714,6.1611800064159965,6.161274335852248,6.161259752425302,6.1611658217138014,6.161174516776462,2.64419408611559,2.6446748357644765,2.641240694223711,2.6451159302965834,2.6444432457384437,0.5515871464759411
5.0,0.3,0.8,0.13,0.04,0.26186464586532865,0.6545072846166455,6.156197148628706,1.01852808619671,1.018673645355392,1.0186511410676928,1.018506198751055,1.0185196155223082,4.838371338691758,4.838726919064555,4.836185388030316,4.839053108613115,4.8385556350451395,0.6400312556177735
5.0,0.3,0.8,0.12,0.04,0.26720263840651337,0.648567416352539,0.9484393074404025,3.1024360600238765,3.102789873548602,3.102735173363101,3.102382855693861,3.102415469368509,6.094013204701071,6.094233840622394,6.092657714473546,6.09443627492584,6.094127554662748,0.7858318434705731
5.0,0.3,0.8,0.11,0.04,0.27256084919162044,0.6423682645383859,3.322450938209961,5.384861447711415,5.385073915934669,5.3850410692288335,5.384829496496337,5.384849082337411,1.1521629522559422,1.152499105906493,1.1500994230301629,1.152807594396684,1.1523371627428176,0.5020487550326608
5.0,0.3,0.8,0.1,0.04,0.2778794309551053,0.6361321968116106,5.625182581072501,0.40757752739748554,0.40778137221580124,0.4077498562412316,0.40754687614637675,0.4075656649945145,3.888238893389577,3.888861324721553,3.8844142058562525,3.88943237780925,3.888561487961148,1.070694359750615
5.0,0.3,0.8,0.09,0.04,0.2833243490933529,0.6297700867224891,0.7021494139421947,2.6072888037572923,2.6079069913701645,2.60781141207719,2.607195853181402,2.6072528305688323,5.921343351831929,5.921617434288528,5.91966007654748,5.921868928692966,5.921485398546174,0.45825615744801995
5.0,0.3,0.8,0.08,0.04,0.28871590009699233,0.6231717285120029,3.6130759483895787,5.535070610114339,5.535420708847518,5.535366584541329,5.535017962427823,5.535050234954191,1.281203768636388,1.281649593954299,1.2784691566518092,1.282058814409666,1.281434803887933,0.45835984628119997
5.0,0.3,0.8,0.07,0.04,0.2940945809779207,0.6165725640758032,6.078736681650966,0.8753013546022288,0.8757394984061051,0.8756717499797873,0.8752354834634701,0.8752758613297686,4.773561019729399,4.774117884359143,4.7701398581159395,4.7746288079781465,4.7738496286903995,0.6655672084908756
5.0,0.3,0.8,0.06,0.04,0.29951322491371457,0.6098701321289035,1.7697959141083217,4.42611174321685,4.427034658490655,4.42689198499086,4.4259729468797815,4.426058027916341,0.37445201078303825,0.3747807356258406,0.37243565012891366,0.37508246926932287,0.37462236243805336,0.8569801629361177
5.0,0.3,0.8,0.05,0.04,0.3049573674277642,0.6028485473326959,5.510602855789919,0.2745915361203046,0.2751093080343239,0.275029244454025,0.2745136969348536,0.27456141090001296,3.6222863658064384,3.6232448671427377,3.616402950601831,3.624124501482264,3.6227831032071194,1.0472898281875984
5.0,0.3,0.8,0.04,0.04,0.3104344000406771,0.595915916496747,1.204409791569077,3.6992434507931122,3.701009831220965,3.7007367373528197,3.698977845080883,3.699140658236267,0.05854874397525123,0.05889957230871801,0.05639741784167995,0.05922161894429223,0.05873054661512356,1.0333731431150905
5.0,0.3,0.8,0.03,0.04,0.3159241107090823,0.5886406796215984,5.406240968699933,0.1817878950542422,0.1825441597298436,0.18242720325048367,0.18167422133325317,0.18174390058180734,3.3683574756424264,3.369508072406063,3.3613009680125856,3.3705642366253983,3.3689537315013354,0.9515766135232604
5.0,0.3,0.8,0.02,0.04,0.32145075967171777,0.5815360840497061,1.386893942639638,4.034020422015288,4.0365202144822945,4.036133743093757,4.033644518677335,4.033874943287316,0.1787213271853787,0.17912074642925546,0.17627405336259727,0.17948747837716184,0.17892829857999715,1.0099129399462063
