m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20350907951317887,0.5844642746501066,14612.886505656852,14614.325523330464,14614.325523338475,14614.325523337116,14614.325523340114,14614.325523338872,14610.585581354278,14610.586847089457,14610.579236742342,14610.587717136605,14610.584782102302,0.43566279581766837
5.0,0.3,0.8,0.19,0.04,0.23029674314678797,0.6875776141934726,17245.933904434583,17247.210507631076,17247.210507631364,17247.210507631076,17247.210507631364,17247.210507631364,17243.73989757362,17243.74029116191,17243.737915440168,17243.740561357277,17243.739648727355,0.5934111521782359
5.0,0.3,0.8,0.18,0.04,0.23546905080185507,0.6824495839393345,17221.57421682563,17222.70061067433,17222.70061067479,17222.70061067479,17222.70061067479,17222.70061067479,17219.872002433927,17219.87240366364,17219.86998107165,17219.872679077023,17219.871748731257,1.0782133641025877
5.0,0.3,0.8,0.17,0.04,0.24078473103419587,0.6771094112392853,19805.419353449153,19807.39563523317,19807.39563523317,19807.39563523317,19807.39563523317,19807.39563523317,19804.25498773014,19804.255046514314,19804.254691343176,19804.255086855916,19804.254950552255,0.6009646403434061
5.0,0.3,0.8,0.16,0.04,0.24599526061583799,0.671682477623697,19781.419755303203,19783.898639052786,19783.898639052786,19783.898639052786,19783.898639052786,19783.898639052786,19779.93606686685,19779.936130457318,19779.93574627759,19779.93617409873,19779.93602665057,0.8756832159737615
5.0,0.3,0.8,0.15,0.04,0.2513162320102373,0.6659842089019045,22318.26812306378,22319.781648753953,22319.781648753953,22319.781648753953,22319.781648753953,22319.781648753953,22317.134327030766,22317.134352861358,22317.134196749877,22317.134370587028,22317.134310692247,0.3231780223062146
5.0,0.3,0.8,0.14,0.04,0.2565421352705068,0.6603101032542751,24831.334267976257,24832.6552100534,24832.6552100534,24832.6552100534,24832.6552100534,24832.6552100534,24830.161220716567,24830.161231934388,24830.161164136967,24830.16123963159,24830.16121362143,0.3972194670033991
5.0,0.3,0.8,0.13,0.04,0.2618435948582701,0.6545118444122304,27320.263384205937,27322.42834941444,27322.42834941444,27322.42834941444,27322.42834941444,27322.42834941444,27319.110836699703,27319.110840089033,27319.110819604808,27319.110842415295,27319.110834556086,0.8122769020845052
5.0,0.3,0.8,0.12,0.04,0.26717757882305015,0.6484492257624883,27297.272945988734,27299.43357620067,27299.43357620067,27299.43357620067,27299.43357620067,27299.43357620067,27295.209665349423,27295.20967019913,27295.20964088886,27295.209673525977,27295.209662282257,0.526829420777143
5.0,0.3,0.8,0.11,0.04,0.2724899695218096,0.6422969362240576,27274.417950972973,27275.51957926705,27275.51957926705,27275.51957926705,27275.51957926705,27275.51957926705,27272.469730512847,27272.469740608703,27272.469679601574,27272.469747533887,27272.469724129907,1.0064768725630473
5.0,0.3,0.8,0.1,0.04,0.2779161719238963,0.6360434448962495,27250.604320494116,27252.159496461096,27252.159496461096,27252.159496461096,27252.159496461096,27252.159496461096,27249.535687166248,27249.53569182098,27249.535663692182,27249.5356950143,27249.535684223065,0.2864141670571236
5.0,0.3,0.8,0.09,0.04,0.2832530225797003,0.6296674279436335,27227.67766850336,27230.08878306244,27230.08878306244,27230.08878306244,27230.08878306244,27230.08878306244,27225.83863378568,27225.83863897918,27225.838607589092,27225.83864254319,27225.83863050081,0.5676068068339188
5.0,0.3,0.8,0.08,0.04,0.2886229663491149,0.6230818858101734,27205.470917752013,27206.528982497446,27206.528982497446,27206.528982497446,27206.528982497446,27206.528982497446,27203.661300716736,27203.66131274875,27203.6612400301,27203.661321005307,27203.661293106452,1.0709467823531564
5.0,0.3,0.8,0.07,0.04,0.29408315931606527,0.6164565561323134,27181.923433433698,27184.04479622226,27184.04479622226,27184.04479622226,27184.04479622226,27184.04479622226,27180.851891510836,27180.851896313543,27180.851867282112,27180.85189960984,27180.851888472233,0.6916551071705519
5.0,0.3,0.8,0.06,0.04,0.2995397977569592,0.6094954866174768,27160.380175300677,27161.84053153824,27161.84053153824,27161.84053153824,27161.84053153824,27161.84053153824,27157.81799240811,27157.818003666864,27157.81793562625,27157.818011391602,27157.817985288395,0.33823275025664845
5.0,0.3,0.8,0.05,0.04,0.3049916686515394,0.6026195594300384,27137.38688707482,27138.801814578528,27138.801814578528,27138.801814578528,27138.801814578528,27138.801814578528,27136.36310145423,27136.363108006753,27136.363068405644,27136.363112502775,27136.363097310517,0.2671928207616874
5.0,0.3,0.8,0.04,0.04,0.3104498207445873,0.595474949814521,27115.694026158362,27117.557532734165,27117.557532734165,27117.557532734165,27117.557532734165,27117.557532734165,27113.254732273377,27113.254741912137,27113.254683654544,27113.25474852744,27113.254726177016,0.42471108317624806
5.0,0.3,0.8,0.03,0.04,0.3159559119812751,0.588278315422531,27093.312397322978,27094.627587051433,27094.627587051433,27094.627587051433,27094.627587051433,27094.627587051433,27092.292394371274,27092.292402140654,27092.292355180176,27092.292407472432,27092.292389455917,0.2868203233729444
5.0,0.3,0.8,0.02,0.04,0.32150794009248773,0.5807863790265726,27072.05124754461,27073.722338003514,27073.722338003514,27073.722338003514,27073.722338003514,27073.722338003514,27069.465340857198,27069.465353234616,27069.46527843069,27069.465361727627,27069.465333028602,0.3693326170288943
5.0,0.3,0.8,0.01,0.04,0.3272385242269924,0.5729564929212427,27049.674027688292,27051.363652959924,27051.363652959924,27051.363652959924,27051.363652959924,27051.363652959924,27048.696010174415,27048.696017600432,27048.695972719306,27048.69602269576,27048.69600547757,0.2752693723353042
5.0,0.3,0.8,0.0,0.04,0.3368805190979555,0.5291776426399825,27029.253474912322,27030.3630164721,27030.3630164721,27030.3630164721,27030.3630164721,27030.3630164721,27026.580003561758,27026.580027064985,27026.57988503075,27026.580043187812,27026.579988696194,0.4306058749950961
